cluster	GOterm	FDR	fold_enrich	GeneIDs
clusterset367	regulation_of_ion_transmembrane_transport	0.00149943	2.37543	CACNA1D;CACNA1G;CACNA2D3;CACNB2;GPR89A;GPR89B;HCN4;HVCN1;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNJ14;KCNJ2;KCNJ5;KCNQ3;KCNS2;SCN11A;SCN1A;SCN2B;TPCN2
clusterset367	regulation_of_heart_rate_by_cardiac_conduction	0.0039914	3.77746	CACNA1D;CACNA1G;CACNB2;HCN4;KCNA5;KCNE1;KCNH6;KCNJ2;KCNJ5;PKP2;SCN2B;YWHAE
clusterset367	ligand-gated_ion_channel_activity	0.00440507	3.98732	CHRNA5;CHRNB2;CHRND;GRIA3;GRID1;GRID2;GRIK1;GRIN2B;GRIN2C;GRIN2D;TRPV1
clusterset367	voltage-gated_potassium_channel_activity	0.00532289	3.09361	AL590132.1;HCN4;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNK9;KCNQ3;KCNS2
clusterset367	potassium_ion_transport	0.00546041	2.30038	ABCC8;AL590132.1;FXYD2;HCN4;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNJ14;KCNJ2;KCNJ5;KCNK9;KCNMB3;KCNN2;KCNQ3;KCNS2;KCNT1;TMEM38A
clusterset367	transmitter-gated_ion_channel_activity_involved_in_regulation_of_postsynaptic_membrane_potential	0.00660128	3.75948	CHRNB2;CHRND;GABRA2;GABRB2;GABRR1;GLRA1;GRIA3;GRID1;GRID2;GRIK1;GRIN2C
clusterset367	ion_transmembrane_transport	0.00776533	1.8203	ABCC4;ASIC3;ATP2A3;ATP2B2;ATP2B3;ATP2C2;ATP6V1E2;ATP6V1F;BEST1;CACNA1D;CACNA1G;CALHM5;CHRNA5;CHRNA7;CHRNB2;CHRND;FXYD2;GABRA2;GABRB2;GABRR1;GLRA1;GPR89A;GPR89B;GRIA3;GRID1;GRID2;GRIK1;GRIN2C;KCNA2;KCNAB2;KCNAB3;KCND1;KCNH7;KCNJ5;KCNQ3;P2RX7;SCN1A;TMC7;TMEM38A;TMEM63C;TPCN2;TRPV1
clusterset367	potassium_ion_transmembrane_transport	0.00953412	2.24287	ABCC8;AL590132.1;HCN4;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNJ2;KCNJ5;KCNK9;KCNMB3;KCNN2;KCNQ3;KCNS2;KCNT1;SLC9A5;TMEM38A
clusterset367	cardiac_muscle_cell_action_potential_involved_in_contraction	0.0106994	5.23336	CACNA1D;CACNA1G;KCNE1;KCNJ2;PKP2;SCN1A;SCN2B
clusterset367	voltage-gated_potassium_channel_complex	0.0165634	2.54192	AMIGO1;DPP10;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNIP2;KCNJ14;KCNJ2;KCNJ5;KCNMB3;KCNQ3;KCNS2;SUMO1
clusterset367	RNA_polymerase_II_transcription_regulatory_region_sequence-specific_DNA_binding	0.0165634	1.67398	ALX1;CUX2;HOXD3;NHLH1;NHLH2;NPAS1;POU6F1;RHOXF1;SCRT1;SCX;SOX13;TCF15;TWIST2;ZFP41;ZFP69;ZNF101;ZNF14;ZNF169;ZNF175;ZNF180;ZNF20;ZNF343;ZNF391;ZNF404;ZNF425;ZNF439;ZNF442;ZNF443;ZNF491;ZNF517;ZNF550;ZNF57;ZNF582;ZNF589;ZNF596;ZNF619;ZNF674;ZNF69;ZNF696;ZNF70;ZNF700;ZNF709;ZNF749;ZNF764;ZNF77;ZNF79;ZNF799;ZNF823
clusterset367	ionotropic_glutamate_receptor_signaling_pathway	0.0195101	4.16068	CLN3;GRIA3;GRID1;GRID2;GRIK1;GRIN2B;GRIN2C;GRIN2D
clusterset367	ionotropic_glutamate_receptor_activity	0.0195101	4.65188	GRIA3;GRID1;GRID2;GRIK1;GRIN2B;GRIN2C;GRIN2D
clusterset367	regulation_of_potassium_ion_transmembrane_transport	0.0195101	4.65188	CACNA1D;DPP10;KCNAB2;KCNAB3;KCNE1;KCNIP2;KCNN2
clusterset367	potassium_channel_activity	0.0195101	2.55189	ABCC8;HCN4;KCNA2;KCNA4;KCNA5;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNK9;KCNQ3;KCNS2;KCNT1;TMEM38A
clusterset367	molecular_function	0.0261165	1.48201	ABTB2;ADIRF;ADM5;ARPP21;BEST4;BLOC1S3;C14orf39;C6orf163;C9orf64;CA10;CDH3;CHAC2;CISH;CPNE5;DEPDC7;EHBP1L1;EML5;EXOC3L1;FMNL1;GNB1L;GOLT1A;GPR63;GSDMB;HHIPL1;IFI27;JPH1;KIAA1217;KLHL4;KRBA1;L3MBTL3;LRG1;MAMLD1;MDGA1;MN1;MSTO1;NAIF1;NECAB1;NOMO1;NOMO3;NPAP1;NXPH4;OR2L2;PMFBP1;POMZP3;POTEI;RAI2;RSPH14;SAMD12;SERF1A;SERHL2;SLC22A15;SMIM24;SNURF;STRIP2;SUMO4;THNSL1;THNSL2;TMEM132B;TMEM51;TRIM35;TSPAN9;UFSP1;VMO1;ZDHHC23;ZNF114;ZNF77;ZNF79;ZNF862;ZSCAN22;ZXDB
clusterset367	hyaluronic_acid_binding	0.0265139	4.40704	BCAN;HAPLN2;HAPLN4;IMPG2;LAYN;NCAN;SUSD5
